date, pm25, pm10, o3, no2, so2, co
2015-07-11, 166, 108, 139, 23, 4, 9
2015-07-12, 169, 59, 130, 20, 1, 6
2015-07-13, 118, 48, 115, 15, 3, 6
2015-07-14, 104, 49, 49, 23, 2, 6
2015-07-15, 98, 38, 44, 12, 1, 6
2015-07-16, 104, 35, 40, 16, 1, 7
2015-07-17, 96, 42, 63, 15, 1, 8
2015-07-18, 118, 52, 60, 17, , 9
2015-07-19, 152, 67, 64, 14, , 8
2015-07-20, 162, 75, 71, 18, , 10
2015-07-21, 181, 49, 87, 19, 1, 7
2015-07-22, 140, 48, 73, 22, , 7
2015-07-23, 112, 62, 80, 28, 2, 8
2015-07-24, 131, 77, 115, 22, 1, 11
2015-07-25, 161, 90, 134, 18, 1, 10
2015-07-26, 175, 71, 98, 19, 1, 8
2015-07-27, 138, 53, 92, 14, , 7
2015-07-28, 124, 78, 110, 21, , 9
2015-07-29, 165, 42, 45, 13, 2, 8
2015-07-30, 104, 25, 74, 10, , 5
2015-07-31, 71, 62, 47, 24, 2, 12
2015-08-01, 155, 70, 86, 14, 1, 10
2015-08-02, 151, 40, 35, 16, 3, 11
2015-08-03, 129, 34, 81, 14, 1, 4
2015-08-04, 57, 77, 88, 17, 1, 9
2015-08-05, 156, 59, 90, 11, 1, 6
2015-08-06, 113, 75, 84, 16, 1, 8
2015-08-07, 158, 48, 101, 16, , 6
2015-08-08, 112, 61, 123, 15, 1, 7
2015-08-09, 132, 52, 88, 19, 1, 6
2015-08-10, 109, 87, 127, 17, 5, 14
2015-08-11, 168, 88, 118, 17, 1, 9
2015-08-12, 162, 105, 140, 19, 5, 10
2015-08-13, 179, 62, 50, 16, 2, 7
2015-08-14, 123, 42, 64, 19, 1, 5
2015-08-15, 76, 70, 140, 22, 3, 6
2015-08-16, 100, 85, 112, 17, 6, 9
2015-08-17, 158, 60, 72, 19, 1, 7
2015-08-18, 120, 53, 82, 19, 1, 7
2015-08-19, 138, 43, 84, 13, 1, 5
2015-08-20, 94, 26, 75, 12, 1, 3
2015-08-21, 50, 24, 47, 9, 4, 4
2015-08-22, 50, 25, 47, 9, 3, 7
2015-08-23, 72, 18, 47, 9, , 3
2015-08-24, 52, 24, 43, 14, 1, 3
2015-08-25, 59, 20, 52, 11, , 3
2015-08-26, 42, 20, 50, 11, 1, 3
2015-08-27, 44, 28, 59, 14, 1, 4
2015-08-28, 57, 41, 92, 10, 1, 5
2015-08-29, 78, 33, 37, 11, 1, 8
2015-08-30, 84, 30, 33, 13, , 6
2015-08-31, 91, 9, 25, 8, , 4
2015-09-01, 42, 11, 39, 9, , 3
2015-09-02, 34, 24, 61, 12, , 5
2015-09-03, 48, 57, 33, 12, 1, 15
2015-09-04, 134, 16, 36, 10, 1, 6
2015-09-05, 68, 23, 57, 14, 1, 4
2015-09-06, 60, 38, 69, 22, 1, 6
2015-09-07, 79, 63, 84, 29, 3, 8
2015-09-08, 135, 46, 38, 25, 1, 7
2015-09-09, 108, 9, 15, 16, 1, 3
2015-09-10, 36, 13, 31, 12, 1, 2
2015-09-11, 37, 14, 30, 13, 1, 2
2015-09-12, 28, 42, 45, 23, 2, 4
2015-09-13, 60, 78, 76, 29, 6, 7
2015-09-14, 143, 84, 109, 31, 9, 10
2015-09-15, 172, 92, 71, 43, 4, 12
2015-09-16, 190, 105, 82, 41, 5, 12
2015-09-17, 194, 69, 47, 30, 1, 9
2015-09-18, 146, 33, 56, 23, 1, 5
2015-09-19, 56, 82, 78, 21, 6, 10
2015-09-20, 162, 77, 98, 31, 10, 10
2015-09-21, 159, 102, 51, 28, 7, 13
2015-09-22, 182, 39, 38, 21, 1, 6
2015-09-23, 78, 90, 58, 29, 2, 11
2015-09-24, 163, 21, 31, 18, 1, 4
2015-09-25, 53, 49, 63, 23, 4, 6
2015-09-26, 83, 61, 54, 29, 2, 6
2015-09-27, 123, 53, 24, 24, 2, 11
2015-09-28, 118, 54, 7, 24, 1, 11
2015-09-29, 119, 34, 22, 21, 1, 6
2015-09-30, 72, 20, 29, 10, 1, 2
2015-10-01, 40, 49, 38, 23, 1, 5
2015-10-02, 70, 46, 40, 21, 2, 5
2015-10-03, 69, 92, 63, 41, 4, 11
2015-10-04, 176, 141, 86, 47, 4, 16
2015-10-05, 242, 195, 102, 49, 3, 19
2015-10-06, 326, 198, 51, 51, 4, 18
2015-10-07, 286, 22, 23, 9, 1, 1
2015-10-08, 27, 43, 25, 15, 1, 3
2015-10-09, 62, 22, 22, 6, 1, 2
2015-10-10, 22, 29, 31, 10, 1, 1
2015-10-11, 31, 28, 30, 19, 1, 2
2015-10-12, 42, 54, 28, 36, 3, 6
2015-10-13, 91, 98, 26, 49, 10, 19
2015-10-14, 180, 92, 53, 51, 6, 14
2015-10-15, 181, 162, 77, 64, 11, 20
2015-10-16, 255, 250, 31, 73, 9, 24
2015-10-17, 354, 49, 21, 27, 4, 9
2015-10-18, 132, 67, 20, 27, 4, 7
2015-10-19, 123, 82, 5, 35, 5, 13
2015-10-20, 161, 57, 13, 18, 1, 7
2015-10-21, 132, 43, 10, 20, 1, 6
2015-10-22, 90, 53, 19, 29, 1, 7
2015-10-23, 123, 60, 22, 26, 4, 9
2015-10-24, 129, 45, 9, 27, 4, 6
2015-10-25, 89, 55, 18, 15, 1, 3
2015-10-26, 88, 33, 16, 19, 1, 4
2015-10-27, 52, 15, 24, 12, 1, 2
2015-10-28, 32, 15, 23, 9, 1, 1
2015-10-29, 37, 32, 17, 22, 2, 4
2015-10-30, 72, 48, 17, 30, 4, 7
2015-10-31, 110, 70, 14, 38, 6, 9
2015-11-01, 147, 74, 13, 43, 5, 13
2015-11-02, 164, 127, 29, 48, 11, 20
2015-11-03, 219, 136, 12, 56, 10, 17
2015-11-04, 256, , 13, 28, 3, 9
2015-11-05, 166, 15, 21, 10, 1, 3
2015-11-06, 61, 16, 21, 9, 1, 3
2015-11-07, 55, 66, 16, 20, 2, 6
2015-11-08, 127, 101, 2, 28, 6, 16
2015-11-09, 198, 101, 1, 28, 3, 13
2015-11-10, 192, 82, 2, 27, 4, 17
2015-11-11, 184, 120, 1, 28, 3, 22
2015-11-12, 217, 141, 2, 35, 8, 27
2015-11-13, 255, 109, 5, 38, 11, 31
2015-11-14, 308, 154, 15, 34, 9, 29
2015-11-15, 264, 56, 8, 32, 4, 11
2015-11-16, 140, 57, 10, 27, 3, 13
2015-11-17, 132, 53, 4, 27, 3, 9
2015-11-18, 143, , , 32, 2, 13
2015-11-19, 165, , 1, 25, 7, 20
2015-11-20, 150, , 1, 19, 4, 18
2015-11-21, 118, , 22, 17, 5, 10
2015-11-22, 128, , 23, 14, 5, 5
2015-11-23, 82, 31, 15, 22, 4, 6
2015-11-24, 86, 19, 22, 20, 5, 10
2015-11-25, 113, 36, 23, 16, 5, 6
2015-11-26, 74, 149, 4, 48, 21, 30
2015-11-27, 293, 251, 5, 50, 25, 39
2015-11-28, 352, 184, 6, 52, 25, 45
2015-11-29, 301, 472, 3, 64, 12, 59
2015-11-30, 421, 250, 2, 63, 24, 78
2015-12-01, 488, 5, 17, 8, 2, 3
2015-12-02, 29, 12, 16, 8, 1, 3
2015-12-03, 37, 35, 18, 19, 6, 7
2015-12-04, 61, 50, 20, 31, 9, 11
2015-12-05, 104, 109, 4, 53, 19, 30
2015-12-06, 215, 120, 3, 49, 22, 34
2015-12-07, 234, 170, 2, 47, 11, 44
2015-12-08, 317, , 1, 53, 22, 36
2015-12-09, 317, , 23, 28, 9, 17
2015-12-10, 158, 57, 17, 30, 8, 10
2015-12-11, 101, 129, 6, 50, 15, 30
2015-12-12, 215, 152, 4, 57, 26, 41
2015-12-13, 254, , 23, 39, 7, 27
2015-12-14, 199, 7, 24, 8, 1, 3
2015-12-15, 26, 10, 17, 11, 1, 4
2015-12-16, 30, 46, 9, 36, 8, 12
2015-12-17, 116, 59, 14, 45, 10, 20
2015-12-18, 144, 98, 4, 63, 18, 34
2015-12-19, 219, 156, 7, 60, 16, 42
2015-12-20, 279, 198, 7, 56, 12, 40
2015-12-21, 288, 317, 7, 66, 18, 53
2015-12-22, 375, 205, 13, 66, 11, 43
2015-12-23, 317, 104, 17, 43, 9, 16
2015-12-24, 157, 415, 6, 90, 7, 70
2015-12-25, 525, 283, 6, 62, 3, 41
2015-12-26, 316, 79, 8, 35, 6, 12
2015-12-27, 123, 86, 10, 43, 9, 21
2015-12-28, 180, 236, 8, 74, 18, 47
2015-12-29, 361, 160, 34, 36, 5, 20
2015-12-30, 157, 68, 16, 37, 6, 15
2015-12-31, 122, , , , , 
2016-01-02, , , 18, 32, 10, 15
2016-01-03, 221, 10, 27, 17, 2, 7
2016-01-04, 82, 51, 20, 21, 5, 5
2016-01-05, 79, 28, 24, 20, 4, 6
2016-01-06, 72, 14, 22, 13, 3, 2
2016-01-07, 43, 29, 19, 21, 6, 6
2016-01-08, 79, 67, 11, 38, 11, 14
2016-01-09, 142, 49, 19, 32, 13, 13
2016-01-10, 125, 15, 25, 12, 2, 2
2016-01-11, 47, 17, 24, 16, 3, 4
2016-01-12, 50, 31, 20, 23, 5, 6
2016-01-13, 64, 63, 17, 39, 12, 15
2016-01-14, 142, 90, 13, 47, 21, 27
2016-01-15, 184, 86, 11, 33, 25, 21
2016-01-16, 187, 31, 28, 13, 4, 5
2016-01-17, 87, 39, 26, 9, 1, 2
2016-01-18, 38, 58, 13, 33, 10, 13
2016-01-19, 132, 101, 5, 40, 37, 36
2016-01-20, 207, 91, 6, 31, 14, 24
2016-01-21, 198, 21, 27, 10, 3, 4
2016-01-22, 50, 35, 27, 9, 2, 4
2016-01-23, 47, 42, 26, 13, 2, 3
2016-01-24, 48, 29, 22, 20, 6, 5
2016-01-25, 69, 43, 22, 19, 9, 5
2016-01-26, 85, 79, 14, 42, 22, 18
2016-01-27, 181, 107, 18, 43, 27, 24
2016-01-28, 219, 58, 14, 27, 20, 15
2016-01-29, 148, 45, 24, 24, 10, 11
2016-01-30, 117, 16, 27, 13, 3, 4
2016-01-31, 53, 15, 27, 16, 4, 4
2016-02-01, 52, 34, 24, 23, 6, 6
2016-02-02, 80, 33, 18, 30, 7, 9
2016-02-03, 106, 15, 29, 13, 3, 4
2016-02-04, 58, 27, 31, 8, 2, 3
2016-02-05, 44, 32, 28, 19, 6, 6
2016-02-06, 76, 50, 31, 21, 10, 8
2016-02-07, 113, 176, 34, 21, 30, 9
2016-02-08, 221, 38, 36, 19, 10, 9
2016-02-09, 114, 80, 21, 33, 30, 25
2016-02-10, 182, 114, 24, 32, 27, 27
2016-02-11, 216, 99, 18, 28, 11, 20
2016-02-12, 206, 13, 29, 5, 2, 2
2016-02-13, 47, 13, 27, 5, 1, 2
2016-02-14, 32, 36, 28, 8, 1, 2
2016-02-15, 38, 32, 31, 8, 1, 2
2016-02-16, 40, 40, 29, 25, 8, 8
2016-02-17, 116, 26, 34, 12, 3, 3
2016-02-18, 55, 24, 32, 14, 3, 3
2016-02-19, 55, 14, 31, 9, 2, 3
2016-02-20, 49, 71, 23, 31, 14, 15
2016-02-21, 167, 60, 33, 22, 10, 10
2016-02-22, 128, 15, 33, 9, 3, 2
2016-02-23, 49, 36, 26, 22, 4, 6
2016-02-24, 79, 32, 27, 19, 3, 5
2016-02-25, 70, 42, 28, 18, 6, 5
2016-02-26, 91, 26, 29, 17, 4, 4
2016-02-27, 71, 40, 31, 17, 4, 7
2016-02-28, 93, 33, 24, 21, 5, 5
2016-02-29, 96, 86, 22, 40, 16, 16
2016-03-01, 188, 116, 27, 56, 16, 24
2016-03-02, 232, 151, 22, 60, 25, 32
2016-03-03, 345, 202, 18, 61, 33, 42
2016-03-04, 374, 177, 32, 11, 3, 2
2016-03-05, 150, 113, 14, 38, 16, 14
2016-03-06, 156, 61, 35, 19, 10, 8
2016-03-07, 81, 19, 33, 7, 1, 2
2016-03-08, 45, 15, 28, 8, 1, 2
2016-03-09, 41, 35, 29, 9, 1, 2
2016-03-10, 44, 42, 27, 20, 2, 4
2016-03-11, 66, 84, 17, 42, 21, 13
2016-03-12, 176, 35, 36, 15, 4, 3
2016-03-13, 68, 80, 29, 32, 12, 11
2016-03-14, 154, 108, 24, 37, 26, 11
2016-03-15, 194, 150, 60, 47, 21, 19
2016-03-16, 284, 150, 52, 52, 18, 18
2016-03-17, 298, 36, 46, 43, 7, 13
2016-03-18, 238, 75, 29, 22, 10, 9
2016-03-19, 147, 69, 37, 36, 8, 12
2016-03-20, 139, 110, 47, 47, 12, 11
2016-03-21, 189, 129, 19, 44, 16, 12
2016-03-22, 185, 34, 33, 16, 3, 6
2016-03-23, 64, 24, 36, 19, 1, 5
2016-03-24, 47, 36, 35, 21, 2, 3
2016-03-25, 70, 27, 35, 15, 1, 2
2016-03-26, 45, 31, 38, 16, 1, 2
2016-03-27, 40, 131, 32, 37, 9, 6
2016-03-28, 159, 52, 39, 14, 2, 2
2016-03-29, 57, 48, 37, 19, 4, 3
2016-03-30, 68, 135, 50, 41, 20, 13
2016-03-31, 203, 82, 33, 14, 4, 4
2016-04-01, 106, 21, 33, 7, 1, 1
2016-04-02, 26, 34, 37, 12, 1, 1
2016-04-03, 44, 75, 52, 24, 6, 4
2016-04-04, 148, 91, 60, 26, 10, 8
2016-04-05, 179, 83, 39, 32, 18, 16
2016-04-06, 183, 83, 35, 29, 3, 9
2016-04-07, 160, 50, 39, 14, 3, 2
2016-04-08, 68, 164, 40, 29, 6, 6
2016-04-09, 156, 117, 38, 21, 7, 7
2016-04-10, 137, 70, 34, 20, 3, 4
2016-04-11, 144, 65, 30, 29, 3, 6
2016-04-12, 155, 87, 39, 41, 4, 10
2016-04-13, 191, 68, 43, 13, 2, 2
2016-04-14, 92, 72, 44, 33, 11, 10
2016-04-15, 148, 57, 32, 10, 1, 3
2016-04-16, 79, 24, 37, 8, , 1
2016-04-17, 50, 26, 40, 10, 1, 1
2016-04-18, 53, 65, 18, 31, 11, 11
2016-04-19, 140, 60, 48, 19, 4, 5
2016-04-20, 145, 96, 51, 35, 5, 8
2016-04-21, 173, 70, 42, 9, , 1
2016-04-22, 89, 38, 38, 18, 1, 1
2016-04-23, 81, 89, 72, 26, 11, 7
2016-04-24, 152, 81, 77, 15, 7, 5
2016-04-25, 160, 80, 62, 20, 13, 11
2016-04-26, 160, 72, 46, 31, 6, 10
2016-04-27, 166, 69, 85, 30, 3, 9
2016-04-28, 161, 64, 92, 32, 9, 11
2016-04-29, 171, 100, 117, 40, 5, 14
2016-04-30, 210, 57, 117, 21, 14, 19
2016-05-01, 213, 62, 38, 8, 2, 9
2016-05-02, 144, 50, 41, 14, 1, 2
2016-05-03, 94, 44, 51, 30, 2, 4
2016-05-04, 78, 55, 51, 25, 8, 9
2016-05-05, 116, 199, 37, 5, 1, 1
2016-05-06, 112, 30, 53, 12, 1, 1
2016-05-07, 49, 64, 67, 22, 9, 6
2016-05-08, 153, 41, 34, 17, 3, 4
2016-05-09, 105, 53, 71, 22, 1, 5
2016-05-10, 117, 73, 87, 15, 6, 9
2016-05-11, 183, 29, 37, 15, 2, 7
2016-05-12, 72, 57, 57, 31, 6, 7
2016-05-13, 109, 38, 36, 21, 3, 3
2016-05-14, 110, 23, 36, 22, 1, 3
2016-05-15, 94, 46, 54, 26, 1, 4
2016-05-16, 80, 78, 111, 27, 6, 2
2016-05-17, 143, 70, 99, 14, 5, 3
2016-05-18, 146, 76, 127, 17, 8, 4
2016-05-19, 161, 78, 116, 27, 11, 8
2016-05-20, 163, 65, 109, 23, 9, 6
2016-05-21, 153, 67, 104, 29, 4, 4
2016-05-22, 136, 76, 71, 25, 8, 8
2016-05-23, 141, 31, 59, 14, 1, 2
2016-05-24, 81, 24, 52, 10, 19, 2
2016-05-25, 64, 48, 50, 16, 1, 2
2016-05-26, 109, 79, 86, 28, 6, 6
2016-05-27, 141, 57, 97, 15, 4, 5
2016-05-28, 119, 51, 72, 14, 3, 5
2016-05-29, 117, 93, 138, 26, 9, 10
2016-05-30, 159, 86, 39, 17, 6, 8
2016-05-31, 156, 54, 82, 20, 3, 6
2016-06-01, 127, 63, 109, 26, 5, 7
2016-06-02, 139, 83, 116, 28, 13, 11
2016-06-03, 160, 78, 123, 13, 8, 8
2016-06-04, 164, 73, 110, 16, 8, 8
2016-06-05, 149, 77, 127, 16, 4, 8
2016-06-06, 160, 61, 62, 11, 1, 7
2016-06-07, 137, , 114, 15, 1, 11
2016-06-08, 188, 76, 110, 18, 3, 9
2016-06-09, 176, 31, 86, 9, 1, 5
2016-06-10, 124, 15, 49, 9, , 2
2016-06-11, 42, 62, 103, 16, 3, 8
2016-06-12, 141, 61, 41, 15, 2, 6
2016-06-13, 124, 32, 37, 13, 1, 5
2016-06-14, 106, 32, 65, 16, , 4
2016-06-15, 55, 33, 77, 25, , 5
2016-06-16, 81, 47, 44, 24, 1, 4
2016-06-17, 83, 60, 107, 25, 2, 7
2016-06-18, 112, 61, 114, 17, 2, 6
2016-06-19, 144, 63, 124, 15, 4, 10
2016-06-20, 172, 63, 125, 17, 1, 8
2016-06-21, 180, 58, 110, 17, 1, 6
2016-06-22, 112, 70, 87, 18, 3, 10
2016-06-23, 144, 28, 38, 17, 1, 4
2016-06-24, 50, 28, 50, 11, 1, 2
2016-06-25, 48, 62, 100, 23, 2, 4
2016-06-26, 103, 66, 70, 19, 3, 6
2016-06-27, 136, 31, 34, 18, 1, 7
2016-06-28, 150, , 76, 17, , 8
2016-06-29, 175, 49, 94, 18, , 6
2016-06-30, 129, 23, 71, 10, , 3
2016-07-01, 46, 52, 90, 19, 1, 6
2016-07-02, 106, 66, 110, 17, 5, 8
2016-07-03, 152, 82, 110, 14, 3, 11
2016-07-04, 195, 67, 119, 13, 2, 9
2016-07-05, 163, 63, 111, 19, 3, 8
2016-07-06, 141, 86, 126, 14, 4, 11
2016-07-07, 169, 77, 104, 16, 3, 11
2016-07-08, 159, 58, 100, 15, 1, 7
2016-07-09, 147, 62, 91, 12, 1, 7
2016-07-10, 144, 62, 92, 12, 3, 6
2016-07-11, 154, 33, 38, 13, 2, 5
2016-07-12, 85, 32, 85, 17, 1, 4
2016-07-13, 58, 50, 63, 22, 2, 7
2016-07-14, 92, 34, 30, 16, 1, 6
2016-07-15, 102, 43, 35, 18, 1, 6
2016-07-16, 101, 66, 115, 25, 1, 16
2016-07-17, 153, 74, 54, 28, 3, 18
2016-07-18, 168, 54, 16, 29, 1, 12
2016-07-19, 176, 5, 23, 12, , 6
2016-07-20, 95, 17, 21, 15, , 7
2016-07-21, 59, , 77, 21, 1, 9
2016-07-22, 147, , 96, 27, , 12
2016-07-23, 168, 56, 104, 22, , 8
2016-07-24, 129, 40, 55, 19, 1, 8
2016-07-25, 103, 25, 76, 11, 1, 4
2016-07-26, 46, 61, 121, 18, 1, 8
2016-07-27, 122, 47, 90, 17, 1, 6
2016-07-28, 101, 77, 109, 16, 1, 15
2016-07-29, 170, 47, 39, 12, , 15
2016-07-30, 194, 55, 43, 14, 1, 12
2016-07-31, 129, 59, 81, 13, 1, 12
2016-08-01, 137, 42, 75, 13, 1, 12
2016-08-02, 112, 59, 108, 14, 1, 9
2016-08-03, 124, 76, 120, 15, 2, 14
2016-08-04, 162, 54, 78, 12, 1, 7
2016-08-05, 131, 74, 80, 15, 1, 9
2016-08-06, 164, 26, 54, 6, , 6
2016-08-07, 62, 37, 74, 12, 1, 8
2016-08-08, 87, 54, 91, 22, 3, 12
2016-08-09, 111, 67, 69, 11, 1, 9
2016-08-10, 152, 64, 82, 11, 2, 8
2016-08-11, 154, 50, 36, 14, 2, 7
2016-08-12, 115, 32, 19, 15, 1, 6
2016-08-13, 66, 32, 90, 12, 1, 5
2016-08-14, 55, 40, 45, 11, 2, 6
2016-08-15, 70, 32, 76, 14, 1, 5
2016-08-16, 69, 67, 19, 32, 2, 9
2016-08-17, 137, , 23, 29, 1, 15
2016-08-18, 156, 27, 67, 15, , 8
2016-08-19, 57, 54, 115, 20, 1, 10
2016-08-20, 117, 61, 147, 23, 1, 9
2016-08-21, 126, 48, 82, 15, 3, 8
2016-08-22, 107, 62, 71, 19, 4, 7
2016-08-23, 130, 73, 52, 26, 3, 10
2016-08-24, 154, 21, 32, 11, 1, 3
2016-08-25, 35, 23, 41, 16, 1, 2
2016-08-26, 32, 32, 36, 21, 1, 4
2016-08-27, 43, 25, 44, 16, 1, 2
2016-08-28, 36, 37, 49, 20, 1, 4
2016-08-29, 48, 54, 100, 22, 2, 6
2016-08-30, 85, 38, 38, 22, 2, 3
2016-08-31, 53, 26, 31, 13, 1, 2
2016-09-01, 23, 30, 28, 13, 1, 3
2016-09-02, 40, 33, 78, 14, 1, 4
2016-09-03, 59, 66, 94, 20, 4, 9
2016-09-04, 143, 45, 43, 13, 1, 4
2016-09-05, 72, 34, 34, 21, 1, 5
2016-09-06, 70, 49, 79, 18, 3, 6
2016-09-07, 109, 34, 44, 22, 1, 6
2016-09-08, 60, 32, 33, 21, 1, 4
2016-09-09, 52, 30, 49, 19, 1, 3
2016-09-10, 46, 56, 52, 13, 1, 7
2016-09-11, 88, 42, 50, 18, 1, 6
2016-09-12, 89, 63, 60, 24, 1, 9
2016-09-13, 163, 71, 86, 22, 2, 10
2016-09-14, 165, 74, 98, 21, 2, 7
2016-09-15, 155, 58, 93, 21, 2, 9
2016-09-16, 180, 40, 26, 17, 1, 7
2016-09-17, 99, 25, 14, 16, , 5
2016-09-18, 56, 19, 34, 15, 1, 3
2016-09-19, 37, 40, 43, 22, 2, 4
2016-09-20, 61, 86, 14, 43, 2, 10
2016-09-21, 151, 85, 42, 32, 3, 10
2016-09-22, 171, 111, 88, 22, 1, 11
2016-09-23, 187, 127, 96, 24, 3, 10
2016-09-24, 165, 125, 48, 22, 3, 15
2016-09-25, 217, 68, 24, 18, 1, 10
2016-09-26, 136, 24, 25, 11, 1, 6
2016-09-27, 65, 26, 26, 16, 1, 2
2016-09-28, 45, 71, 44, 27, 4, 6
2016-09-29, 130, 93, 66, 34, 5, 9
2016-09-30, 169, 123, 58, 41, 6, 13
2016-10-01, 202, 129, 63, 31, 4, 12
2016-10-02, 219, 103, 71, 20, 2, 10
2016-10-03, 176, 49, 19, 14, 1, 9
2016-10-04, 89, 67, 25, 16, 1, 11
2016-10-05, 141, 66, 13, 19, 2, 14
2016-10-06, 153, 45, 20, 18, 1, 15
2016-10-07, 115, 20, 26, 8, 1, 4
2016-10-08, 44, 57, 14, 22, 2, 6
2016-10-09, 98, 96, 10, 34, 7, 12
2016-10-10, 167, 93, 25, 27, 5, 13
2016-10-11, 181, 74, 27, 24, 4, 10
2016-10-12, 157, 118, 28, 35, 3, 14
2016-10-13, 217, 152, 30, 42, 4, 18
2016-10-14, 286, 128, , 37, 4, 19
2016-10-15, 243, 110, 28, 21, 2, 8
2016-10-16, 181, 79, 27, 20, 1, 8
2016-10-17, 139, 102, 2, 28, 3, 17
2016-10-18, 176, 132, 16, 31, 3, 21
2016-10-19, 270, 87, 10, 23, 3, 13
2016-10-20, 164, 52, 11, 16, , 7
2016-10-21, 125, 20, 13, 13, 1, 4
2016-10-22, 48, 45, 13, 21, 1, 5
2016-10-23, 83, 89, 1, 25, 1, 11
2016-10-24, 150, 101, 3, 31, 1, 13
2016-10-25, 178, 71, 21, 20, 1, 7
2016-10-26, 93, 55, 3, 21, 3, 11
2016-10-27, 96, 17, 23, 12, 1, 3
2016-10-28, 41, 50, 17, 22, 2, 5
2016-10-29, 79, 63, 24, 19, 3, 8
2016-10-30, 110, 19, 21, 7, 1, 1
2016-10-31, 35, 54, 16, 23, 4, 6
2016-11-01, 111, 108, 7, 38, 8, 13
2016-11-02, 184, 161, 3, 45, 8, 23
2016-11-03, 254, 180, 3, 47, 4, 30
2016-11-04, 298, 133, 19, 38, 2, 27
2016-11-05, 229, 67, 16, 22, 6, 9
2016-11-06, 148, 42, 19, 18, 1, 6
2016-11-07, 94, 37, 13, 23, 3, 6
2016-11-08, 102, 131, 1, 33, 5, 24
2016-11-09, 231, 107, 8, 22, 3, 14
2016-11-10, 198, 81, 3, 26, 2, 14
2016-11-11, 153, 83, 12, 26, 5, 12
2016-11-12, 155, 111, 1, 28, 6, 22
2016-11-13, 172, 67, 25, 17, 2, 9
2016-11-14, 86, 60, 8, 31, 6, 12
2016-11-15, 107, 107, 8, 35, 6, 20
2016-11-16, 182, 116, 2, 31, 12, 23
2016-11-17, 189, 190, 2, 35, 11, 37
2016-11-18, 244, 107, 19, 26, 4, 17
2016-11-19, 183, 71, 12, 18, 2, 9
2016-11-20, 131, 18, 23, 7, 1, 3
2016-11-21, 44, 18, 21, 9, 2, 2
2016-11-22, 36, 21, 15, 15, 3, 4
2016-11-23, 50, 69, 8, 33, 10, 12
2016-11-24, 136, 133, 2, 44, 12, 25
2016-11-25, 234, 291, 5, 53, 10, 34
2016-11-26, 332, 102, 23, 30, 4, 17
2016-11-27, 144, 76, 3, 41, 11, 18
2016-11-28, 151, 90, 1, 34, 12, 22
2016-11-29, 173, 83, 23, 30, 7, 19
2016-11-30, 142, 32, 26, 22, 3, 5
2016-12-01, 66, 86, 7, 40, 11, 18
2016-12-02, 172, 215, 4, 54, 14, 36
2016-12-03, 292, 244, 5, 47, 8, 35
2016-12-04, 327, 38, 24, 20, 5, 9
2016-12-05, 94, 91, 3, 46, 11, 21
2016-12-06, 164, 109, 4, 46, 14, 26
2016-12-07, 201, 87, 26, 24, 7, 16
2016-12-08, 136, 30, 20, 18, 4, 5
2016-12-09, 69, 55, 9, 32, 7, 12
2016-12-10, 120, 145, 5, 49, 20, 38
2016-12-11, 259, 141, 5, 44, 20, 25
2016-12-12, 271, 33, 21, 22, 4, 8
2016-12-13, 87, 32, 16, 21, 5, 5
2016-12-14, 72, 43, 23, 21, 5, 7
2016-12-15, 85, 101, 3, 47, 12, 21
2016-12-16, 182, 164, 4, 49, 18, 32
2016-12-17, 279, 161, 4, 49, 12, 36
2016-12-18, 293, 164, 6, 54, 13, 38
2016-12-19, 271, 290, 3, 54, 3, 68
2016-12-20, 407, 280, 4, 62, 5, 66
2016-12-21, 418, 90, 24, 20, 2, 14
2016-12-22, 131, 39, 15, 23, 4, 6
2016-12-23, 83, 101, 3, 40, 15, 24
2016-12-24, 194, 112, 3, 42, 17, 25
2016-12-25, 214, 46, 19, 26, 9, 9
2016-12-26, 114, 41, 21, 21, 5, 6
2016-12-27, 85, 62, 18, 18, 5, 9
2016-12-28, 122, 68, 12, 24, 5, 12
2016-12-29, 104, 222, 5, 49, 11, 37
2016-12-30, 318, 335, 4, 64, 12, 53
2016-12-31, 379, 425, 4, 59, 4, 62
2017-01-01, 486, 243, 16, 45, 6, 32
2017-01-02, 273, 282, 6, 73, 8, 55
2017-01-03, 383, 387, 6, 67, 8, 67
2017-01-04, 437, 170, 4, 49, 10, 48
2017-01-05, 281, 144, 3, 52, 16, 48
2017-01-06, 285, 142, 2, 41, 11, 35
2017-01-07, 244, , 20, 13, 4, 5
2017-01-08, 77, 51, 17, 16, 2, 6
2017-01-09, 77, 38, 21, 18, 3, 5
2017-01-10, 71, 65, 7, 38, 11, 14
2017-01-11, 149, 50, 30, 26, 8, 8
2017-01-12, 104, 24, 27, 13, 5, 3
2017-01-13, 38, 36, 23, 23, 5, 7
2017-01-14, 61, 55, 15, 25, 6, 9
2017-01-15, 124, 82, 5, 36, 12, 17
2017-01-16, 174, 106, 7, 42, 14, 22
2017-01-17, 203, 49, 14, 28, 6, 8
2017-01-18, 114, 71, 26, 19, 9, 9
2017-01-19, 108, 31, 23, 17, 3, 5
2017-01-20, 64, 45, 26, 17, 8, 4
2017-01-21, 80, 35, 17, 23, 6, 7
2017-01-22, 83, 44, 18, 23, 8, 8
2017-01-23, 99, 88, 8, 34, 24, 24
2017-01-24, 171, 127, 11, 38, 25, 30
