date, pm25, pm10, o3, no2, so2, co
2014-05-07, 152, 80, 80, 25, 8, 8
2014-05-08, 167, 79, 55, 25, 17, 11
2014-05-09, 154, 67, 43, 22, 14, 10
2014-05-10, 142, 27, 40, 14, 1, 7
2014-05-11, 92, 60, 70, 23, 2, 5
2014-05-12, 121, 85, 50, 30, 5, 5
2014-05-13, 135, 52, 35, 14, 2, 1
2014-05-14, 73, 120, 48, 32, 3, 3
2014-05-15, 151, 88, 63, 28, 6, 4
2014-05-16, 160, 82, 100, 35, 15, 8
2014-05-17, 151, 103, 127, 31, 15, 8
2014-05-18, 169, 107, 111, 24, 9, 8
2014-05-19, 177, 120, 89, 25, 5, 8
2014-05-20, 138, 122, 125, 29, 16, 12
2014-05-21, 173, 131, 105, 33, 11, 13
2014-05-22, 207, 98, 111, 24, 11, 7
2014-05-23, 160, 114, 34, 23, 5, 9
2014-05-24, 168, 123, 41, 16, 2, 6
2014-05-25, 128, 64, 66, 30, 1, 4
2014-05-26, 65, 101, 44, 28, 2, 3
2014-05-27, 83, 71, 98, 29, 4, 4
2014-05-28, 87, 92, 113, 34, 7, 5
2014-05-29, 116, 126, 164, 39, 23, 13
2014-05-30, 169, 137, 139, 37, 30, 21
2014-05-31, 181, 62, 96, 13, 2, 6
2014-06-01, 134, 39, 79, 16, 1, 4
2014-06-02, 98, 57, 103, 26, 4, 6
2014-06-03, 116, 75, 96, 29, 6, 7
2014-06-04, 147, 80, 122, 26, 6, 8
2014-06-05, 151, 73, 35, 21, 8, 10
2014-06-06, 115, 25, 45, 16, 1, 3
2014-06-07, 42, 65, 62, 33, 5, 7
2014-06-08, 112, 51, 73, 23, 4, 5
2014-06-09, 97, 72, 51, 20, 4, 12
2014-06-10, 159, 57, 61, 18, 1, 6
2014-06-11, 108, 60, 82, 20, 2, 5
2014-06-12, 88, 81, 91, 22, 5, 8
2014-06-13, 130, 60, 130, 20, 2, 5
2014-06-14, 109, 120, 132, 28, 10, 11
2014-06-15, 182, 107, 106, 19, 2, 10
